"rideable_type","member_casual","minutes_by_group","day_of_week","month","hour_of_day"
"electric_bike","member","10 to 30 min.","Saturday","May",14
"electric_bike","member","10 to 30 min.","Monday","October",17
"electric_bike","casual","10 to 30 min.","Wednesday","July",18
"classic_bike","member","10 to 30 min.","Sunday","August",10
"electric_bike","casual","over 60 min.","Thursday","September",15
"electric_scooter","casual","up to 10 min.","Saturday","September",12
"electric_bike","casual","10 to 30 min.","Sunday","May",14
"electric_bike","casual","10 to 30 min.","Sunday","October",21
"classic_bike","member","up to 10 min.","Wednesday","July",18
"electric_bike","member","over 60 min.","Sunday","October",18
"classic_bike","member","10 to 30 min.","Monday","June",19
"electric_bike","casual","up to 10 min.","Tuesday","October",16
"classic_bike","member","10 to 30 min.","Wednesday","September",10
"electric_bike","member","10 to 30 min.","Saturday","May",18
"classic_bike","member","up to 10 min.","Wednesday","September",16
"classic_bike","member","up to 10 min.","Thursday","January",16
"electric_bike","casual","10 to 30 min.","Sunday","March",17
"electric_bike","casual","up to 10 min.","Monday","April",15
"electric_bike","casual","10 to 30 min.","Saturday","July",9
"classic_bike","casual","10 to 30 min.","Saturday","June",15
"electric_scooter","casual","10 to 30 min.","Sunday","September",16
"electric_bike","member","up to 10 min.","Friday","May",13
"electric_bike","member","10 to 30 min.","Sunday","June",21
"electric_scooter","member","up to 10 min.","Friday","September",11
"electric_bike","casual","10 to 30 min.","Friday","July",22
"electric_scooter","member","up to 10 min.","Friday","September",15
"classic_bike","member","10 to 30 min.","Wednesday","May",17
"classic_bike","casual","over 60 min.","Saturday","May",15
"classic_bike","casual","10 to 30 min.","Friday","June",17
"electric_bike","casual","up to 10 min.","Saturday","August",16
"classic_bike","casual","up to 10 min.","Saturday","July",9
"electric_bike","member","up to 10 min.","Saturday","July",13
"electric_bike","member","10 to 30 min.","Tuesday","July",11
"classic_bike","casual","10 to 30 min.","Wednesday","July",16
"electric_bike","member","10 to 30 min.","Wednesday","May",7
"electric_bike","casual","up to 10 min.","Tuesday","September",14
"electric_bike","member","up to 10 min.","Wednesday","October",20
"classic_bike","casual","10 to 30 min.","Sunday","July",14
"classic_bike","member","10 to 30 min.","Wednesday","February",17
"electric_bike","casual","10 to 30 min.","Monday","April",17
"classic_bike","member","up to 10 min.","Thursday","September",16
"classic_bike","member","up to 10 min.","Saturday","October",19
"classic_bike","member","10 to 30 min.","Saturday","May",10
"classic_bike","casual","up to 10 min.","Saturday","May",6
"classic_bike","casual","10 to 30 min.","Monday","July",13
"classic_bike","member","30 to 60 min.","Wednesday","January",16
"electric_bike","member","up to 10 min.","Monday","July",16
"electric_bike","member","10 to 30 min.","Monday","May",8
"electric_bike","member","up to 10 min.","Wednesday","May",12
"electric_bike","casual","up to 10 min.","Saturday","September",12
"electric_scooter","member","up to 10 min.","Wednesday","September",17
"classic_bike","member","up to 10 min.","Saturday","March",12
"electric_bike","member","up to 10 min.","Thursday","May",7
"electric_bike","casual","10 to 30 min.","Thursday","October",18
"classic_bike","casual","up to 10 min.","Thursday","March",13
"classic_bike","casual","30 to 60 min.","Saturday","July",21
"electric_bike","casual","10 to 30 min.","Friday","May",10
"classic_bike","member","10 to 30 min.","Wednesday","March",8
"classic_bike","member","up to 10 min.","Monday","May",13
"electric_bike","casual","up to 10 min.","Wednesday","March",16
"electric_bike","member","30 to 60 min.","Wednesday","July",11
"electric_bike","casual","10 to 30 min.","Friday","June",12
"classic_bike","member","up to 10 min.","Thursday","August",16
"classic_bike","member","up to 10 min.","Monday","October",16
"classic_bike","member","up to 10 min.","Sunday","May",16
"electric_bike","member","up to 10 min.","Tuesday","June",12
"electric_bike","member","10 to 30 min.","Thursday","November",23
"classic_bike","casual","30 to 60 min.","Saturday","April",17
"classic_bike","casual","over 60 min.","Sunday","August",12
"electric_bike","member","10 to 30 min.","Tuesday","June",15
"classic_bike","member","up to 10 min.","Tuesday","October",8
"classic_bike","casual","up to 10 min.","Thursday","April",1
"classic_bike","member","10 to 30 min.","Sunday","August",16
"electric_bike","member","10 to 30 min.","Tuesday","April",11
"classic_bike","member","up to 10 min.","Tuesday","February",17
"electric_bike","member","up to 10 min.","Thursday","March",16
"electric_bike","member","10 to 30 min.","Thursday","April",7
"classic_bike","member","up to 10 min.","Friday","October",17
"electric_bike","member","10 to 30 min.","Tuesday","April",16
"electric_scooter","casual","up to 10 min.","Thursday","September",9
"classic_bike","casual","over 60 min.","Sunday","June",11
"classic_bike","member","up to 10 min.","Sunday","September",14
"electric_bike","member","up to 10 min.","Saturday","November",2
"classic_bike","member","10 to 30 min.","Tuesday","July",7
"classic_bike","member","10 to 30 min.","Monday","August",13
"classic_bike","member","10 to 30 min.","Friday","May",16
"classic_bike","casual","10 to 30 min.","Tuesday","September",14
"electric_bike","casual","10 to 30 min.","Friday","July",18
"electric_bike","member","up to 10 min.","Tuesday","May",9
"electric_bike","member","up to 10 min.","Thursday","October",17
"classic_bike","casual","10 to 30 min.","Monday","June",7
"electric_bike","casual","up to 10 min.","Wednesday","June",18
"electric_bike","member","10 to 30 min.","Friday","November",5
"classic_bike","casual","up to 10 min.","Tuesday","March",11
"electric_bike","member","10 to 30 min.","Thursday","September",19
"classic_bike","casual","10 to 30 min.","Wednesday","May",17
"electric_bike","casual","10 to 30 min.","Saturday","July",23
"classic_bike","casual","10 to 30 min.","Saturday","July",9
"electric_bike","member","up to 10 min.","Wednesday","October",18
"electric_scooter","casual","up to 10 min.","Thursday","September",7
"classic_bike","member","10 to 30 min.","Wednesday","October",18
"electric_bike","member","10 to 30 min.","Wednesday","March",17
"electric_bike","casual","10 to 30 min.","Wednesday","September",18
"classic_bike","member","up to 10 min.","Monday","June",18
"electric_bike","member","up to 10 min.","Monday","July",7
"classic_bike","member","up to 10 min.","Thursday","April",7
"classic_bike","member","30 to 60 min.","Thursday","October",21
"electric_bike","member","up to 10 min.","Sunday","November",15
"electric_bike","casual","up to 10 min.","Sunday","July",17
"classic_bike","member","10 to 30 min.","Monday","August",17
"electric_bike","member","10 to 30 min.","Tuesday","August",14
"electric_bike","member","30 to 60 min.","Thursday","June",13
"electric_bike","member","up to 10 min.","Tuesday","August",16
"classic_bike","member","up to 10 min.","Sunday","February",1
"electric_bike","member","up to 10 min.","Saturday","March",9
"electric_bike","casual","up to 10 min.","Sunday","August",16
"electric_bike","member","10 to 30 min.","Monday","March",7
"electric_scooter","casual","up to 10 min.","Wednesday","September",8
"electric_bike","member","up to 10 min.","Tuesday","April",17
"electric_bike","member","up to 10 min.","Tuesday","September",18
"electric_bike","member","up to 10 min.","Tuesday","December",12
"classic_bike","member","up to 10 min.","Tuesday","August",8
"classic_bike","casual","10 to 30 min.","Monday","August",17
"electric_bike","member","10 to 30 min.","Sunday","June",23
"classic_bike","member","10 to 30 min.","Tuesday","September",8
"classic_bike","member","10 to 30 min.","Thursday","April",0
"classic_bike","casual","up to 10 min.","Monday","April",22
"electric_bike","casual","up to 10 min.","Tuesday","June",20
"electric_bike","member","10 to 30 min.","Wednesday","June",8
"electric_bike","member","up to 10 min.","Monday","May",18
"classic_bike","member","up to 10 min.","Tuesday","August",11
"electric_bike","member","10 to 30 min.","Friday","September",18
"electric_bike","member","up to 10 min.","Tuesday","September",16
"classic_bike","member","30 to 60 min.","Wednesday","October",14
"electric_bike","member","up to 10 min.","Thursday","November",16
"classic_bike","member","up to 10 min.","Thursday","August",19
"classic_bike","casual","10 to 30 min.","Saturday","August",0
"electric_bike","member","up to 10 min.","Monday","April",13
"electric_bike","member","up to 10 min.","Wednesday","November",5
"electric_bike","member","up to 10 min.","Saturday","May",8
"electric_bike","casual","up to 10 min.","Sunday","April",12
"electric_bike","casual","up to 10 min.","Friday","August",15
"classic_bike","member","10 to 30 min.","Sunday","May",15
"electric_bike","casual","up to 10 min.","Saturday","May",22
"electric_bike","member","up to 10 min.","Monday","November",19
"classic_bike","member","10 to 30 min.","Wednesday","September",19
"classic_bike","casual","up to 10 min.","Wednesday","September",9
"classic_bike","member","10 to 30 min.","Wednesday","June",21
"classic_bike","casual","10 to 30 min.","Thursday","October",14
"classic_bike","member","up to 10 min.","Wednesday","October",18
"electric_bike","member","up to 10 min.","Monday","June",9
"electric_bike","member","up to 10 min.","Friday","March",15
"electric_bike","member","up to 10 min.","Tuesday","April",16
"classic_bike","member","10 to 30 min.","Wednesday","October",13
"classic_bike","casual","up to 10 min.","Tuesday","February",17
"classic_bike","casual","10 to 30 min.","Saturday","January",10
"classic_bike","casual","10 to 30 min.","Saturday","June",11
"electric_bike","member","up to 10 min.","Friday","November",15
"electric_scooter","member","up to 10 min.","Friday","September",17
"electric_bike","casual","10 to 30 min.","Sunday","August",17
"classic_bike","member","10 to 30 min.","Friday","October",16
"electric_bike","member","up to 10 min.","Tuesday","July",12
"classic_bike","member","up to 10 min.","Saturday","November",15
"electric_bike","member","up to 10 min.","Sunday","October",10
"classic_bike","member","up to 10 min.","Tuesday","July",19
"classic_bike","member","up to 10 min.","Sunday","May",18
"classic_bike","member","up to 10 min.","Monday","April",16
"electric_bike","member","10 to 30 min.","Wednesday","February",10
"classic_bike","member","up to 10 min.","Sunday","November",11
"classic_bike","member","up to 10 min.","Saturday","June",11
"classic_bike","casual","10 to 30 min.","Saturday","July",9
"electric_bike","casual","10 to 30 min.","Saturday","May",19
"classic_bike","member","up to 10 min.","Saturday","September",19
"electric_bike","member","up to 10 min.","Wednesday","September",7
"classic_bike","member","30 to 60 min.","Saturday","April",17
"classic_bike","casual","10 to 30 min.","Thursday","July",17
"electric_bike","member","up to 10 min.","Thursday","November",8
"electric_bike","member","up to 10 min.","Friday","March",14
"electric_bike","member","10 to 30 min.","Thursday","May",14
"electric_bike","casual","10 to 30 min.","Wednesday","May",16
"electric_bike","member","up to 10 min.","Thursday","October",7
"classic_bike","member","10 to 30 min.","Friday","July",17
"electric_bike","casual","up to 10 min.","Friday","July",8
"classic_bike","casual","up to 10 min.","Tuesday","March",8
"electric_bike","member","over 60 min.","Saturday","August",16
"classic_bike","member","10 to 30 min.","Thursday","October",6
"electric_bike","member","10 to 30 min.","Tuesday","April",16
"electric_bike","casual","10 to 30 min.","Saturday","November",1
"electric_bike","casual","10 to 30 min.","Wednesday","August",14
"classic_bike","member","up to 10 min.","Wednesday","January",12
"electric_bike","member","10 to 30 min.","Wednesday","October",15
"classic_bike","casual","10 to 30 min.","Sunday","October",13
"electric_bike","member","up to 10 min.","Monday","August",18
"electric_bike","casual","10 to 30 min.","Sunday","May",16
"classic_bike","casual","10 to 30 min.","Thursday","October",14
"classic_bike","member","10 to 30 min.","Sunday","January",15
"classic_bike","member","up to 10 min.","Thursday","February",19
"classic_bike","member","10 to 30 min.","Thursday","September",22
"classic_bike","casual","30 to 60 min.","Wednesday","January",19
"electric_bike","member","10 to 30 min.","Wednesday","April",16
"classic_bike","member","10 to 30 min.","Friday","November",11
"classic_bike","member","up to 10 min.","Saturday","August",8
"classic_bike","casual","10 to 30 min.","Tuesday","February",14
"electric_bike","member","up to 10 min.","Saturday","March",17
"electric_bike","member","up to 10 min.","Tuesday","March",9
"classic_bike","member","30 to 60 min.","Saturday","August",11
