"rideable_type","member_casual","minutes_by_group","day_of_week","month","hour_of_day"
"electric_bike","member","up to 10 min.","Friday","August",7
"electric_bike","casual","up to 10 min.","Saturday","November",13
"classic_bike","casual","10 to 30 min.","Wednesday","July",18
"electric_bike","casual","up to 10 min.","Saturday","October",19
"electric_bike","member","10 to 30 min.","Saturday","October",11
"classic_bike","member","up to 10 min.","Friday","August",21
"classic_bike","member","up to 10 min.","Sunday","March",17
"electric_bike","member","up to 10 min.","Thursday","February",20
"classic_bike","casual","up to 10 min.","Sunday","August",19
"electric_bike","member","up to 10 min.","Saturday","October",18
"classic_bike","member","up to 10 min.","Wednesday","December",10
"electric_scooter","member","up to 10 min.","Wednesday","September",16
"classic_bike","member","up to 10 min.","Tuesday","September",15
"electric_bike","member","up to 10 min.","Wednesday","August",8
"electric_bike","member","10 to 30 min.","Wednesday","August",4
"electric_bike","member","30 to 60 min.","Saturday","May",20
"electric_bike","casual","up to 10 min.","Wednesday","May",1
"electric_bike","member","10 to 30 min.","Saturday","August",2
"electric_bike","casual","over 60 min.","Monday","August",18
"classic_bike","member","30 to 60 min.","Friday","May",9
"electric_bike","member","up to 10 min.","Saturday","August",15
"electric_bike","member","up to 10 min.","Wednesday","December",14
"electric_bike","casual","10 to 30 min.","Friday","October",18
"classic_bike","member","10 to 30 min.","Sunday","June",8
"electric_bike","member","up to 10 min.","Tuesday","July",8
"electric_bike","casual","10 to 30 min.","Friday","June",21
"electric_bike","member","up to 10 min.","Thursday","March",6
"classic_bike","member","up to 10 min.","Monday","September",7
"classic_bike","member","10 to 30 min.","Thursday","August",22
"classic_bike","member","up to 10 min.","Wednesday","December",13
"electric_bike","member","up to 10 min.","Wednesday","November",17
"electric_bike","member","up to 10 min.","Sunday","June",20
"electric_bike","casual","10 to 30 min.","Sunday","August",12
"classic_bike","member","up to 10 min.","Monday","October",11
"electric_bike","member","up to 10 min.","Tuesday","October",16
"electric_bike","member","10 to 30 min.","Friday","June",21
"electric_bike","casual","up to 10 min.","Friday","August",22
"classic_bike","casual","30 to 60 min.","Friday","August",17
"classic_bike","member","10 to 30 min.","Saturday","August",18
"electric_bike","casual","up to 10 min.","Saturday","October",17
"electric_bike","member","up to 10 min.","Wednesday","June",18
"electric_bike","casual","over 60 min.","Sunday","June",14
"electric_bike","casual","10 to 30 min.","Sunday","October",12
"classic_bike","casual","over 60 min.","Saturday","September",14
"classic_bike","member","up to 10 min.","Friday","October",15
"classic_bike","member","10 to 30 min.","Saturday","August",15
"classic_bike","member","up to 10 min.","Thursday","October",13
"electric_bike","casual","over 60 min.","Sunday","August",14
"classic_bike","casual","up to 10 min.","Tuesday","December",17
"electric_bike","casual","up to 10 min.","Wednesday","September",14
"electric_bike","member","up to 10 min.","Wednesday","October",17
"classic_bike","member","up to 10 min.","Friday","March",23
"electric_bike","casual","30 to 60 min.","Sunday","June",14
"electric_bike","casual","up to 10 min.","Sunday","August",13
"classic_bike","member","up to 10 min.","Friday","July",18
"electric_bike","member","up to 10 min.","Friday","May",17
"classic_bike","member","10 to 30 min.","Monday","November",15
"classic_bike","member","30 to 60 min.","Thursday","September",11
"electric_bike","casual","up to 10 min.","Friday","October",8
"classic_bike","member","up to 10 min.","Friday","September",15
"classic_bike","casual","up to 10 min.","Monday","February",17
"classic_bike","member","up to 10 min.","Saturday","November",12
"electric_bike","member","up to 10 min.","Tuesday","April",17
"classic_bike","member","up to 10 min.","Monday","October",17
"classic_bike","member","10 to 30 min.","Friday","September",16
"classic_bike","member","10 to 30 min.","Wednesday","May",17
"electric_bike","member","10 to 30 min.","Friday","May",18
"electric_bike","member","up to 10 min.","Thursday","September",14
"classic_bike","casual","up to 10 min.","Monday","July",10
"electric_bike","member","up to 10 min.","Sunday","August",15
"classic_bike","casual","30 to 60 min.","Wednesday","February",12
"classic_bike","casual","30 to 60 min.","Sunday","April",20
